demvote,repvote,vote,demvoteshare,lagdemvoteshare,realada
82231,93006,.67924529,.46925592,,14.76
127802,103294,.57964599,.5530256,.46925592,64.339996
134258,96251,.55263156,.58244145,.5530256,57.060001
160080,136540,.74166667,.53968042,.58244145,56.220001
148935,112526,.63076925,.56962603,.53968042,42.959999
139147,161360,.64835167,.4630408,.56962603,48.830002
146115,122770,.70056498,.54341078,.4630408,73.040001
193330,137386,.78602618,.58458012,.54341078,67.330002
162844,118767,.72330099,.57825863,.58458012,71.120003
141310,60654,.72403562,.69967914,.57825863,76.589996
100447,71353,.72952855,.58467406,.69967914,84.82
124966,74615,.69999999,.62614179,.58467406,70.559998
88374,87209,.71818179,.50331753,.62614179,69.639999
130701,96188,.70158732,.57605702,.50331753,61.18
117038,67080,.67517608,.63566846,.57605702,87.089996
128479,94106,.69249201,.57721323,.63566846,63.959999
102749,67828,.68320608,.60236138,.57721323,68.339996
137849,80816,.5714286,.6304118,.60236138,2.2
126798,58075,.72087657,.6858654,.6304118,85.5
147748,90823,.71028036,.61930412,.6858654,91.870003
128930,44122,.72737306,.74503618,.61930412,83.68
176463,51985,.75058007,.77244276,.74503618,89.989998
126566,50690,.71316087,.71402943,.77244276,81.940002
164735,75113,.66605169,.68683082,.71402943,86.760002
48376,59828,.77018636,.44708145,,-.38999999
69339,64916,.5625,.5164724,.44708145,71.419998
66523,68747,.69318181,.49177942,.5164724,60.630001
72868,90827,.69999999,.44514492,.49177942,30.110001
70853,72833,.65492958,.49310997,.44514492,58.970001
68847,99274,.66666669,.40950862,.49310997,50.709999
79672,69837,.71621621,.53289098,.40950862,68.040001
93515,93971,.69473684,.49878392,.53289098,45.689999
83652,81010,.73000002,.50802249,.49878392,71.120003
119530,69403,.72779369,.63265812,.50802249,76.589996
90298,69402,.65230769,.56542265,.63265812,84.82
106203,89098,.69268292,.54379135,.56542265,
81492,92846,.74434781,.46743682,.54379135,62.84
73400,142094,,.34061274,.46743682,52.799999
104436,69380,.69561481,.6008423,.34061274,77.809998
142684,74743,.69011974,.65623868,.6008423,80.470001
116624,50167,.6571101,.69922239,.65623868,86
119176,104107,.6427657,.53374416,.69922239,101.07
95254,74294,.62327188,.56181139,.53374416,94.620003
124110,103119,.71149427,.54618907,.56181139,93.43
109229,52869,.73893803,.67384547,.54618907,88.779999
143326,81965,.75691247,.63618165,.67384547,92.300003
105085,70922,.70852017,.59705013,.63618165,85.330002
123291,119416,.67228466,.50798285,.59705013,81.720001
53404,76408,.77499998,.41139495,,9.5200005
84449,83310,.60536397,.50339472,.41139495,71.419998
